id,path,status,sheet_expected,sheet_used,header_row_expected,data_start_row_expected,data_start_row_used,n_variables_expected,file_exists,workbook_ok,sheet_ok,header_row_has_values,n_header_cells_detected,first_date_parse_ok,first_date_value,n_rows_extracted,n_valid_dates,date_min,date_max,date_is_monotonic,n_duplicate_dates,value_missing_ratio,issues,warnings,issue_count,warning_count,quality_ok
regime_variables_growth_eurozone_industrial_production,data/regime_variables/growth/Eurozone_Industrial_Production.xlsx,OK,Historical Values,Historical Values,19.0,20.0,20.0,5,True,True,True,True,5,True,2026-02-28 00:00:00,265,265,2004-02-29,2026-02-28,True,0.0,0.0,[],[],0,0,True
regime_variables_growth_eurozone_pmi_manufactoring,data/regime_variables/growth/Eurozone_PMI_Manufactoring.xlsx,OK,Historical Values,Historical Values,20.0,21.0,21.0,6,True,True,True,True,8,True,2026-03-31 00:00:00,255,255,2004-12-31,2026-03-31,True,0.0,0.0,[],[],0,0,True
regime_variables_growth_eurozone_pmi_services,data/regime_variables/growth/Eurozone_PMI_Services.xlsx,OK,Historical Values,Historical Values,20.0,21.0,21.0,6,True,True,True,True,8,True,2026-04-30 00:00:00,257,257,2004-11-30,2026-04-30,True,0.0,0.0,[],[],0,0,True
regime_variables_growth_germany_gdp_detailed_qq,data/regime_variables/growth/Germany_GDP_Detailed_QQ.xlsx,OK,Historical Values,Historical Values,29.0,30.0,30.0,8,True,True,True,True,8,True,2026-03-31 00:00:00,89,89,2004-03-31,2026-03-31,True,0.0,0.0,[],[],0,0,True
regime_variables_growth_spain_gdp_final_qq,data/regime_variables/growth/Spain_GDP_Final_QQ.xlsx,OK,Historical Values,Historical Values,28.0,29.0,29.0,8,True,True,True,True,8,True,2026-03-31 00:00:00,87,87,2004-09-30,2026-03-31,True,0.0,0.0,[],[],0,0,True
regime_variables_inflation_eurozone_hicp,data/regime_variables/inflation/Eurozone_HICP.xlsx,OK,Historical Values,Historical Values,33.0,34.0,34.0,5,True,True,True,True,5,True,2026-03-31 00:00:00,264,264,2004-04-30,2026-03-31,True,0.0,0.0,[],[],0,0,True
regime_variables_inflation_eurozone_hicp_core,data/regime_variables/inflation/Eurozone_HICP_Core.xlsx,OK,Historical Values,Historical Values,16.0,17.0,17.0,2,True,True,True,True,2,True,2026-03-31 00:00:00,363,363,1996-01-31,2026-03-31,True,0.0,0.0,[],[],0,0,True
regime_variables_inflation_spain_hicp,data/regime_variables/inflation/Spain_HICP.xlsx,OK,Historical Values,Historical Values,19.0,20.0,20.0,6,True,True,True,True,8,True,2026-03-31 00:00:00,240,240,2005-04-30,2026-03-31,True,0.0,0.0,[],[],0,0,True
regime_variables_monetary_ecb_deposit_facility_rate,data/regime_variables/monetary/ECB_Deposit_Facility_Rate.xlsx,OK,Historical Values,Historical Values,16.0,17.0,17.0,2,True,True,True,True,2,True,2026-03-31 00:00:00,279,279,1999-01-31,2026-03-31,True,0.0,0.0,[],[],0,0,True
regime_variables_monetary_ecb_main_refinancing_rate,data/regime_variables/monetary/ECB_Main_Refinancing_Rate.xlsx,OK,Historical Values,Historical Values,16.0,17.0,17.0,2,True,True,True,True,2,True,2026-03-31 00:00:00,279,279,1999-01-31,2026-03-31,True,0.0,0.0,[],[],0,0,True
regime_variables_monetary_germany_10y_yield,data/regime_variables/monetary/Germany_10Y_Yield.xlsx,OK,Historical Values,Historical Values,16.0,17.0,17.0,2,True,True,True,True,2,True,2019-09-30 00:00:00,717,717,1960-01-31,2019-09-30,True,0.0,0.0,[],[],0,0,True
regime_variables_sentiment_eurozone_consumer_confidence,data/regime_variables/sentiment/Eurozone_Consumer_Confidence.xlsx,OK,Historical Values,Historical Values,20.0,21.0,21.0,7,True,True,True,True,8,True,2026-04-30 00:00:00,264,264,2004-05-31,2026-04-30,True,0.0,0.0,[],[],0,0,True
regime_variables_sentiment_eurozone_economic_sentiment_indicator,data/regime_variables/sentiment/Eurozone_Economic_Sentiment_Indicator.xlsx,OK,Historical Values,Historical Values,19.0,20.0,20.0,5,True,True,True,True,5,True,2026-04-30 00:00:00,264,264,2004-05-31,2026-04-30,True,0.0,0.0,[],[],0,0,True
regime_variables_sovereign_yields_belgium_longterm_6plus,data/regime_variables/sovereign_yields/Belgium_LongTerm_6Plus.xlsx,OK,Historical Values,Historical Values,16.0,17.0,17.0,2,True,True,True,True,2,True,2026-02-28 00:00:00,794,794,1960-01-31,2026-02-28,True,0.0,0.0,[],[],0,0,True
regime_variables_sovereign_yields_france_longterm_7plus,data/regime_variables/sovereign_yields/France_LongTerm_7Plus.xlsx,OK,Historical Values,Historical Values,16.0,17.0,17.0,2,True,True,True,True,2,True,2026-03-31 00:00:00,793,793,1960-01-31,2026-03-31,True,0.0,0.0,[],[],0,0,True
regime_variables_sovereign_yields_germany_10y,data/regime_variables/sovereign_yields/Germany_10Y.xlsx,OK,Historical Values,Historical Values,16.0,17.0,17.0,2,True,True,True,True,2,True,2019-09-30 00:00:00,717,717,1960-01-31,2019-09-30,True,0.0,0.0,[],[],0,0,True
regime_variables_sovereign_yields_italy_mixedmaturity,data/regime_variables/sovereign_yields/Italy_MixedMaturity.xlsx,OK,Historical Values,Historical Values,16.0,17.0,17.0,2,True,True,True,True,2,True,2026-03-31 00:00:00,795,795,1960-01-31,2026-03-31,True,0.0,0.0,[],[],0,0,True
regime_variables_sovereign_yields_netherlands_10y,data/regime_variables/sovereign_yields/Netherlands_10Y.xlsx,OK,Historical Values,Historical Values,16.0,17.0,17.0,2,True,True,True,True,2,True,2026-02-28 00:00:00,794,794,1960-01-31,2026-02-28,True,0.0,0.0,[],[],0,0,True
regime_variables_sovereign_yields_portugal_10y,data/regime_variables/sovereign_yields/Portugal_10Y.xlsx,OK,Historical Values,Historical Values,16.0,17.0,17.0,2,True,True,True,True,2,True,2019-09-30 00:00:00,315,315,1993-07-31,2019-09-30,True,0.0,0.0,[],[],0,0,True
regime_variables_sovereign_yields_spain_longterm,data/regime_variables/sovereign_yields/Spain_LongTerm.xlsx,OK,Historical Values,Historical Values,16.0,17.0,17.0,2,True,True,True,True,2,True,2026-02-28 00:00:00,462,462,1987-08-31,2026-02-28,True,0.0,0.0,[],[],0,0,True
regime_variables_sovereign_yields_uk_longterm_20plus,data/regime_variables/sovereign_yields/UK_LongTerm_20Plus.xlsx,OK,Historical Values,Historical Values,16.0,17.0,17.0,2,True,True,True,True,2,True,2026-03-31 00:00:00,759,759,1963-01-31,2026-03-31,True,0.0,0.0,[],[],0,0,True
regime_variables_volatility_eurostoxx50_realizedvol,data/regime_variables/volatility/EuroStoxx50_RealizedVol.xlsx,OK,Sheet 1,Sheet 1,19.0,20.0,20.0,7,True,True,True,True,7,True,2026-03-31 00:00:00,6683,6683,2000-01-03,2026-03-31,True,0.0,0.0,[],[],0,0,True
regime_variables_volatility_move,data/regime_variables/volatility/MOVE.xlsx,OK,Sheet 1,Sheet 1,19.0,20.0,20.0,7,True,True,True,True,7,True,2026-03-31 00:00:00,5796,5796,2002-11-12,2026-03-31,True,0.0,0.0,[],[],0,0,True
regime_variables_volatility_vix,data/regime_variables/volatility/VIX.xlsx,OK,VIX_History,VIX_History,1.0,2.0,2.0,5,True,True,True,True,5,True,1990-01-02 00:00:00,8000,8000,1990-01-02,2021-10-05,True,0.0,0.0,[],[],0,0,True
regime_variables_volatility_vstoxx,data/regime_variables/volatility/VSTOXX.xlsx,OK,Sheet 1,Sheet 1,19.0,20.0,20.0,7,True,True,True,True,7,True,2026-03-31 00:00:00,6683,6683,2000-01-03,2026-03-31,True,0.0,0.0,[],[],0,0,True
