id,path,status,sheet_expected,header_row_expected,data_start_row_expected,n_rows_extracted,date_min,date_max,n_duplicate_dates,value_missing_ratio,issue_count,warning_count,issues,warnings
regime_variables_inflation_eurozone_ppi,data/regime_variables/inflation/Eurozone_PPI.xlsx,EMPTY_METADATA_ONLY,Historical Values,,,0,,,,,0,3,[],"['expected_missing_header_row_metadata', 'expected_missing_data_start_row_metadata', 'live_query_formula_without_cached_history']"
regime_variables_monetary_germany_2y_yield,data/regime_variables/monetary/Germany_2Y_Yield.xlsx,EMPTY_METADATA_ONLY,Historical Values,,,0,,,,,0,3,[],"['expected_missing_header_row_metadata', 'expected_missing_data_start_row_metadata', 'live_query_formula_without_cached_history']"
regime_variables_inflation_germany_hicp,data/regime_variables/inflation/Germany_HICP.xlsx,NEEDS_REFRESH,Historical Values,20.0,21.0,363,1996-02-01,2026-04-01,0.0,0.26721763085399447,0,2,[],"['high_missing_ratio_value_series', 'used_fallback_sheet_for_extraction']"
regime_variables_sentiment_zew_germany,data/regime_variables/sentiment/ZEW_Germany.xlsx,NEEDS_REFRESH,Historical Values,19.0,20.0,413,1991-12-01,2026-04-01,0.0,0.36077481840193704,0,2,[],"['high_missing_ratio_value_series', 'used_fallback_sheet_for_extraction']"
