id,status,path,sheet_used,freq_declared,n_rows_extracted,issue_count,warning_count,median_step_days,cadence_ok,coverage_years,last_obs_age_days,stale_flag,outlier_rate_robust,readiness_tier
investable_assets_equity_eurostoxx50,OK,data/investable_assets/equity/EuroStoxx50.xlsx,Sheet 1,daily,6758,0,0,1.0,True,26.239561943874058,24.0,True,0.00029686804215526197,REVIEW
investable_assets_equity_ftse_mib,OK,data/investable_assets/equity/FTSE_MIB.xlsx,Sheet 1,daily,6678,0,0,1.0,True,26.239561943874058,24.0,True,0.0,REVIEW
investable_assets_equity_ibex35,OK,data/investable_assets/equity/IBEX35.xlsx,Sheet 1,daily,6685,0,0,1.0,True,26.239561943874058,24.0,True,0.0005984440454817474,REVIEW
investable_assets_equity_stoxxeurope600,OK,data/investable_assets/equity/StoxxEurope600.xlsx,Sheet 1,daily,6754,0,0,1.0,True,26.239561943874058,24.0,True,0.0002966918854769322,REVIEW
investable_assets_real_assets_ftse_epra_nareit_europe,OK,data/investable_assets/real_assets/FTSE_EPRA_NAREIT_Europe.xlsx,Sheet 1,daily,6807,0,0,1.0,True,26.239561943874058,24.0,True,0.0,REVIEW
regime_variables_global_dxy_usd_index,OK,data/regime_variables/global/DXY_USD_Index.xlsx,Sheet 1,daily,6780,0,0,1.0,True,26.239561943874058,24.0,True,0.0,REVIEW
regime_variables_global_us_10y_yield,OK,data/regime_variables/global/US_10Y_Yield.xlsx,Historical Values,daily,795,0,0,31.0,False,66.16290212183436,24.0,True,0.0,REVIEW
regime_variables_monetary_germany_10y_yield,OK,data/regime_variables/monetary/Germany_10Y_Yield.xlsx,Historical Values,monthly,717,0,0,31.0,True,59.663244353182755,2398.0,True,0.0,REVIEW
regime_variables_sovereign_yields_germany_10y,OK,data/regime_variables/sovereign_yields/Germany_10Y.xlsx,Historical Values,monthly,717,0,0,31.0,True,59.663244353182755,2398.0,True,0.0,REVIEW
regime_variables_sovereign_yields_portugal_10y,OK,data/regime_variables/sovereign_yields/Portugal_10Y.xlsx,Historical Values,monthly,315,0,0,31.0,True,26.16563997262149,2398.0,True,0.012698412698412698,REVIEW
regime_variables_volatility_eurostoxx50_realizedvol,OK,data/regime_variables/volatility/EuroStoxx50_RealizedVol.xlsx,Sheet 1,daily,6683,0,0,1.0,True,26.239561943874058,24.0,True,0.011072871464910969,REVIEW
regime_variables_volatility_move,OK,data/regime_variables/volatility/MOVE.xlsx,Sheet 1,daily,5796,0,0,1.0,True,23.381245722108144,24.0,True,0.0006901311249137336,REVIEW
regime_variables_volatility_vix,OK,data/regime_variables/volatility/VIX.xlsx,VIX_History,daily,8000,0,0,1.0,True,36.24093086926762,24.0,True,0.00939480008739349,REVIEW
regime_variables_volatility_vstoxx,OK,data/regime_variables/volatility/VSTOXX.xlsx,Sheet 1,daily,6683,0,0,1.0,True,26.239561943874058,24.0,True,0.011072871464910969,REVIEW
